gene_name,origin_species,read_mean_count,base_read_mean,species_abundance,orthogroup,fold_change_ratio
J5A69_RS06090,ALL_Cellulosimicrobium_cellulans_strain_ORNL_0100_NZ_CP072387,1.2949707740410359,75.70868563193704,0.017104652699118632,397149,2.0
J5A69_RS17365,ALL_Cellulosimicrobium_cellulans_strain_ORNL_0100_NZ_CP072387,4.060486692485495,237.39077103241758,0.017104652699118632,357700,1.0
J5A69_RS14655,ALL_Cellulosimicrobium_cellulans_strain_ORNL_0100_NZ_CP072387,3.540848959090403,207.0108654864916,0.017104652699118632,410265,1.0
J5A69_RS01715,ALL_Cellulosimicrobium_cellulans_strain_ORNL_0100_NZ_CP072387,6.420799294149108,375.3832016992639,0.017104652699118632,63470,1.0
J5A69_RS04435,ALL_Cellulosimicrobium_cellulans_strain_ORNL_0100_NZ_CP072387,31.848654488202385,1861.9877905994244,0.017104652699118632,396956,1.0
J5A69_RS16940,ALL_Cellulosimicrobium_cellulans_strain_ORNL_0100_NZ_CP072387,11.276126348648566,659.2432215375879,0.017104652699118632,357642,1.0
J5A69_RS00300,ALL_Cellulosimicrobium_cellulans_strain_ORNL_0100_NZ_CP072387,1.09921201192938,64.26391878661296,0.017104652699118632,63285,0.5
J5A69_RS11670,ALL_Cellulosimicrobium_cellulans_strain_ORNL_0100_NZ_CP072387,14.610061112028285,854.1571330928638,0.017104652699118632,475452,1.0
J5A69_RS14400,ALL_Cellulosimicrobium_cellulans_strain_ORNL_0100_NZ_CP072387,0.12438045414810964,7.271732220234949,0.017104652699118632,410244,2.0
J5A69_RS18575,ALL_Cellulosimicrobium_cellulans_strain_ORNL_0100_NZ_CP072387,5.01261715155413,293.055769078107,0.017104652699118632,357872,1.0
J5A69_RS03020,ALL_Cellulosimicrobium_cellulans_strain_ORNL_0100_NZ_CP072387,12.046681447123964,704.2926658045916,0.017104652699118632,63605,2.0
J5A69_RS00175,ALL_Cellulosimicrobium_cellulans_strain_ORNL_0100_NZ_CP072387,5.215856444269092,304.93787485891806,0.017104652699118632,63274,1.0
J5A69_RS13090,ALL_Cellulosimicrobium_cellulans_strain_ORNL_0100_NZ_CP072387,0.2665786374120079,15.58515347264222,0.017104652699118632,410078,2.0
J5A69_RS20020,ALL_Cellulosimicrobium_cellulans_strain_ORNL_0100_NZ_CP072387,4.0440659648777295,236.43075577244034,0.017104652699118632,39953,2.0
